Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
TUR,202012,Female,0,0,0,0,15,15
TUR,202012,Male,0,0,0,0,18,18
TUR,202013,Female,0,0,0,0,15,15
TUR,202013,Male,0,0,0,0,14,14
TUR,202014,Male,0,0,0,0,1,1
TUR,202015,Female,0,0,0,0,1,1
TUR,202015,Male,0,0,0,0,3,3
TUR,202016,Female,0,0,0,0,4,4
TUR,202016,Male,0,0,0,0,11,11
TUR,202017,Female,0,0,0,0,7,7
TUR,202017,Male,0,0,0,0,11,11
TUR,202018,Female,0,0,0,0,19,19
TUR,202018,Male,0,0,0,0,18,18
TUR,202019,Female,0,0,0,0,24,24
TUR,202019,Male,0,0,0,0,23,23
TUR,202020,Female,0,0,0,0,10,10
TUR,202020,Male,0,0,0,0,18,18
TUR,202021,Female,0,0,0,0,27,27
TUR,202021,Male,0,0,0,0,17,17
TUR,202022,Female,0,0,0,0,6,6
TUR,202022,Male,0,0,0,0,8,8
TUR,202023,Female,0,0,0,0,8,8
TUR,202023,Male,0,0,0,0,4,4
TUR,202025,Female,0,0,0,0,3,3
TUR,202025,Male,0,0,0,0,2,2
TUR,202026,Female,0,0,0,0,6,6
TUR,202026,Male,0,0,0,0,10,10
TUR,202031,Male,0,0,0,0,7,7
TUR,202032,Male,0,0,0,0,1,1
TUR,202035,Female,0,0,0,0,2,2
TUR,202035,Male,0,0,0,0,5,5
TUR,202048,Male,0,0,0,0,1,1
TUR,202050,Female,0,0,0,0,3,3
TUR,202050,Male,0,0,0,0,2,2
TUR,202051,Female,0,0,0,0,1,1
TUR,202052,Female,0,0,0,0,3,3
TUR,202052,Male,3,0,0,0,5,8
TUR,202053,Female,1,0,0,0,2,3
TUR,202053,Male,10,0,0,0,8,18
TUR,202101,Female,4,0,0,0,1,5
TUR,202101,Male,2,0,0,0,2,4
TUR,202102,Female,1,0,0,0,2,3
TUR,202102,Male,0,0,0,0,4,4
TUR,202103,Female,0,1,0,0,0,1
TUR,202103,Male,0,0,0,0,1,1
TUR,202104,Female,0,1,0,0,0,1
TUR,202104,Male,0,0,0,0,2,2
TUR,202105,Female,0,0,0,0,1,1
TUR,202105,Male,0,1,1,0,4,6
TUR,202106,Female,0,0,0,0,4,4
TUR,202106,Male,0,1,0,0,4,5
TUR,202107,Female,0,0,0,0,6,6
TUR,202107,Male,0,1,0,0,2,3
TUR,202108,Female,0,3,0,0,2,5
TUR,202108,Male,1,0,0,0,3,4
TUR,202109,Female,0,0,0,0,4,4
TUR,202109,Male,0,1,0,0,3,4
TUR,202110,Female,2,0,0,0,1,3
TUR,202110,Male,0,0,0,0,2,2
TUR,202111,Male,0,0,0,0,1,1
TUR,202112,Female,1,0,0,0,0,1
TUR,202112,Male,4,0,0,0,0,4
TUR,202113,Female,1,0,0,0,0,1
TUR,202113,Male,4,1,0,0,2,7
TUR,202114,Female,1,3,0,0,3,7
TUR,202114,Male,4,4,0,0,3,11
TUR,202115,Female,1,0,0,0,0,1
TUR,202115,Male,3,0,0,0,0,3
TUR,202116,Male,2,0,0,0,0,2
TUR,202118,Male,0,1,0,0,1,2
TUR,202128,Male,0,0,1,0,0,1
TUR,202148,Male,0,0,2,0,0,2
TUR,202149,Male,0,0,1,0,0,1
TUR,202150,Male,0,0,1,0,0,1
TUR,202151,Female,0,0,0,1,0,1
TUR,202152,Female,0,0,1,0,0,1
TUR,202201,Female,0,0,0,2,0,2
TUR,202201,Male,0,0,1,1,0,2
TUR,202202,Male,0,0,0,1,0,1
