Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
TUR,202012,0,0,0,0,36,36
TUR,202013,0,0,0,0,31,31
TUR,202014,0,0,0,0,3,3
TUR,202015,0,0,0,0,5,5
TUR,202016,0,0,0,0,27,27
TUR,202017,0,0,0,0,26,26
TUR,202018,0,0,0,0,42,42
TUR,202019,0,0,0,0,56,56
TUR,202020,0,0,0,0,29,29
TUR,202021,0,0,0,0,46,46
TUR,202022,0,0,0,0,17,17
TUR,202023,0,0,0,0,16,16
TUR,202024,0,0,0,0,5,5
TUR,202025,0,0,0,0,17,17
TUR,202026,0,0,0,0,21,21
TUR,202029,0,0,0,0,1,1
TUR,202031,0,0,0,0,7,7
TUR,202032,0,0,0,0,6,6
TUR,202033,0,0,0,0,1,1
TUR,202035,0,0,0,0,10,10
TUR,202036,0,0,0,0,1,1
TUR,202037,0,0,0,0,9,9
TUR,202038,0,0,0,0,8,8
TUR,202039,0,0,0,0,4,4
TUR,202040,0,0,0,0,1,1
TUR,202041,0,0,0,0,1,1
TUR,202043,0,0,0,0,2,2
TUR,202046,0,0,0,0,1,1
TUR,202047,0,0,0,0,31,31
TUR,202048,0,0,0,0,1,1
TUR,202050,0,0,0,0,5,5
TUR,202051,0,0,0,0,1,1
TUR,202052,3,0,0,0,57,60
TUR,202053,11,0,0,0,14,25
TUR,202101,8,0,0,0,3,11
TUR,202102,29,0,0,0,20,49
TUR,202103,94,3,0,0,86,183
TUR,202104,171,21,0,0,137,329
TUR,202105,0,1,0,0,5,6
TUR,202106,117,41,0,0,640,798
TUR,202107,0,16,0,0,290,306
TUR,202108,7,38,0,0,758,803
TUR,202109,0,45,0,0,289,334
TUR,202110,19,59,333,0,507,918
TUR,202111,0,33,0,0,27,60
TUR,202112,5,57,0,0,60,122
TUR,202113,12,92,0,0,1148,1252
TUR,202114,5,7,0,0,6,18
TUR,202115,4,0,0,0,0,4
TUR,202116,2,0,0,0,0,2
TUR,202117,0,0,0,0,142,142
TUR,202118,1,3,1,0,287,292
TUR,202121,10,2,6,0,272,290
TUR,202122,30,8,4,0,108,150
TUR,202123,41,2,43,0,34,120
TUR,202124,14,26,231,0,347,618
TUR,202125,0,6,274,0,245,525
TUR,202126,3,1,881,0,72,957
TUR,202127,1,0,3023,0,94,3118
TUR,202128,4,0,24,0,852,880
TUR,202129,0,0,370,0,10,380
TUR,202130,1,33,1585,0,361,1980
TUR,202131,14,9,3893,0,4580,8496
TUR,202132,1309,0,5960,0,1080,8349
TUR,202133,0,0,23210,0,4843,28053
TUR,202134,1,0,252,0,0,253
TUR,202135,0,0,1066,0,0,1066
TUR,202136,0,0,2290,0,0,2290
TUR,202137,0,0,424,0,0,424
TUR,202138,0,0,767,0,0,767
TUR,202139,0,0,2241,0,0,2241
TUR,202140,0,0,857,0,0,857
TUR,202141,1,0,858,0,0,859
TUR,202142,0,0,275,0,0,275
TUR,202143,0,0,86,0,0,86
TUR,202144,0,0,1346,0,0,1346
TUR,202145,0,0,1080,0,0,1080
TUR,202146,0,0,1251,0,2,1253
TUR,202147,0,0,847,0,283,1130
TUR,202148,0,0,1641,1,252,1894
TUR,202149,0,0,886,2,0,888
TUR,202150,0,0,779,39,94,912
TUR,202151,0,0,1025,158,5,1188
TUR,202152,0,0,1077,548,39,1664
TUR,202201,0,0,1,643,3,647
TUR,202202,0,0,100,838,16,954
