Country,Week,Omicron,Delta,Other_variants,Total
USA,202001,0,0,10,10
USA,202004,0,0,11,11
USA,202005,0,0,11,11
USA,202006,0,0,3,3
USA,202007,0,0,2,2
USA,202008,0,0,28,28
USA,202009,0,0,86,86
USA,202010,0,0,451,451
USA,202011,0,1,2125,2126
USA,202012,0,0,4908,4908
USA,202013,0,0,4159,4159
USA,202014,0,0,4308,4308
USA,202015,0,0,3200,3200
USA,202016,0,0,2840,2840
USA,202017,0,0,2812,2812
USA,202018,0,0,3206,3206
USA,202019,0,0,2674,2674
USA,202020,0,0,2539,2539
USA,202021,0,0,2188,2188
USA,202022,0,0,1967,1967
USA,202023,0,0,2082,2082
USA,202024,0,0,2229,2229
USA,202025,0,0,3544,3544
USA,202026,0,0,4135,4135
USA,202027,0,0,4324,4324
USA,202028,0,0,4913,4913
USA,202029,0,0,5150,5150
USA,202030,0,1,4419,4420
USA,202031,0,0,3616,3616
USA,202032,0,0,3123,3123
USA,202033,0,0,2826,2826
USA,202034,0,2,2512,2514
USA,202035,0,0,2425,2425
USA,202036,0,2,2186,2188
USA,202037,0,1,2202,2203
USA,202038,0,0,2527,2527
USA,202039,0,0,2502,2502
USA,202040,0,0,2278,2278
USA,202041,0,2,3438,3440
USA,202042,0,0,3429,3429
USA,202043,0,0,3972,3972
USA,202044,0,0,4227,4227
USA,202045,0,1,8025,8026
USA,202046,0,0,6997,6997
USA,202047,0,2,6763,6765
USA,202048,0,0,4691,4691
USA,202049,0,2,8580,8582
USA,202050,0,0,8819,8819
USA,202051,0,2,10723,10725
USA,202052,0,1,8218,8219
USA,202053,0,2,12242,12244
USA,202101,0,7,18890,18897
USA,202102,0,25,19252,19277
USA,202103,0,3,18779,18782
USA,202104,0,2,17024,17026
USA,202105,0,3,17768,17771
USA,202106,0,4,19686,19690
USA,202107,0,1,16144,16145
USA,202108,0,2,18524,18526
USA,202109,0,2,20784,20786
USA,202110,0,3,23939,23942
USA,202111,0,5,27733,27738
USA,202112,0,4,31457,31461
USA,202113,0,35,37250,37285
USA,202114,0,57,39695,39752
USA,202115,0,161,39994,40155
USA,202116,0,306,33742,34048
USA,202117,0,490,34043,34533
USA,202118,0,606,29177,29783
USA,202119,0,617,21998,22615
USA,202120,0,798,16680,17478
USA,202121,0,1040,11050,12090
USA,202122,0,1628,7954,9582
USA,202123,0,2781,7569,10350
USA,202124,0,4067,6198,10265
USA,202125,0,6735,4960,11695
USA,202126,0,10521,4188,14709
USA,202127,0,17445,3656,21101
USA,202128,0,26965,3402,30367
USA,202129,0,44204,2755,46959
USA,202130,0,62233,2559,64792
USA,202131,0,77410,2519,79929
USA,202132,0,65387,1014,66401
USA,202133,0,63938,1198,65136
USA,202134,0,64047,1224,65271
USA,202135,0,68852,1262,70114
USA,202136,0,68400,1540,69940
USA,202137,0,62786,1653,64439
USA,202138,0,55214,1296,56510
USA,202139,0,54472,982,55454
USA,202140,0,56209,1120,57329
USA,202141,0,50417,818,51235
USA,202142,0,50700,1053,51753
USA,202143,0,51996,951,52947
USA,202144,0,55425,915,56340
USA,202145,0,60182,709,60891
USA,202146,0,54296,960,55256
USA,202147,43,43678,470,44191
USA,202148,373,58633,441,59447
USA,202149,2993,43849,533,47375
USA,202150,17168,24120,380,41668
USA,202151,12634,4930,147,17711
USA,202152,268,124,2,394
